,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileagev,enginev,max_powerv,torquev,Brand,model_name
7697,Maruti Alto LX,2003,100000,164000,Petrol,Individual,Manual,Third Owner,5.0,19.7,796,46.3,62Nm,Maruti,Alto LX
18,Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796,46.3,62Nm,Maruti,Alto LX
542,Maruti Alto LXI,2002,140000,50000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796,46.3,62Nm,Maruti,Alto LXI
1025,Maruti Alto LX,2000,108000,206000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,19.7,796,46.3,62Nm,Maruti,Alto LX
7958,Maruti Alto LX,2000,45957,90000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796,46.3,62Nm,Maruti,Alto LX
3311,Nissan Micra Active XV,2014,390000,30000,Petrol,Individual,Manual,First Owner,5.0,19.69,1198,67.04,104Nm,Nissan,Micra Active XV
1783,Ford Classic 1.4 Duratorq Titanium,2014,350000,113226,Diesel,Dealer,Manual,First Owner,5.0,19.68,1399,67,160Nm,Ford,Classic 1.4 Duratorq Titanium
7258,Ford Classic 1.4 Duratorq CLXI,2014,310000,90000,Diesel,Individual,Manual,Second Owner,5.0,19.68,1399,67,160Nm,Ford,Classic 1.4 Duratorq CLXI
7260,Ford Classic 1.4 Duratorq CLXI,2014,330000,100000,Diesel,Individual,Manual,Second Owner,5.0,19.68,1399,67,160Nm,Ford,Classic 1.4 Duratorq CLXI
541,Ford Classic 1.4 Duratorq CLXI,2013,200000,70000,Diesel,Individual,Manual,Second Owner,5.0,19.68,1399,67,160Nm,Ford,Classic 1.4 Duratorq CLXI
5963,Hyundai Creta 1.6 CRDi SX,2018,1237000,46000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
236,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,37000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Plus Dual Tone
826,Hyundai Creta 1.6 CRDi SX,2017,1050000,60000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
1074,Hyundai Creta 1.6 CRDi SX,2017,1150000,63309,Diesel,Dealer,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
1654,Hyundai Creta 1.6 CRDi SX Option,2017,1250000,90000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
2979,Hyundai Creta 1.6 CRDi SX Option,2017,1110000,186000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
3116,Hyundai Creta 1.6 CRDi SX,2017,975000,48698,Diesel,Dealer,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
4082,Hyundai Creta 1.6 CRDi SX Plus,2017,1200000,25000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Plus
5130,Hyundai Creta 1.6 CRDi SX Plus,2017,1150000,27000,Diesel,Individual,Manual,Second Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Plus
5902,Hyundai Creta 1.6 CRDi SX,2017,1125000,47000,Diesel,Individual,Manual,Second Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
121,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
551,Hyundai Creta 1.6 CRDi SX,2016,850000,58000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
3114,Hyundai Creta 1.6 CRDi SX,2016,950000,38600,Diesel,Dealer,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
3176,Hyundai Creta 1.6 CRDi Anniversary Edition,2016,819999,39000,Diesel,Dealer,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi Anniversary Edition
4025,Hyundai Creta 1.6 CRDi SX Plus,2016,1100000,70000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Plus
4036,Hyundai Creta 1.6 CRDi SX,2016,900000,98000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
4283,Hyundai Creta 1.6 CRDi SX Option,2016,1100000,94000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
4705,Hyundai Creta 1.6 CRDi SX Plus,2016,925000,79000,Diesel,Dealer,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Plus
5453,Hyundai Creta 1.6 CRDi SX,2016,1150000,154000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
6039,Hyundai Creta 1.6 CRDi SX,2016,900000,110000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
6836,Hyundai Creta 1.6 CRDi SX,2016,930000,47552,Diesel,Individual,Manual,Second Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
7832,Hyundai Creta 1.6 CRDi SX Option,2016,1050000,80000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
1054,Hyundai Creta 1.6 CRDi SX Option,2015,750000,74000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
1673,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2015,1300000,48000,Diesel,Individual,Manual,Second Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Plus Dual Tone
1794,Hyundai Creta 1.6 CRDi SX Option,2015,899000,80000,Diesel,Individual,Manual,Second Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
2143,Hyundai Creta 1.6 CRDi SX Option,2015,822000,60000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
2426,Hyundai Creta 1.6 CRDi SX,2015,978999,90000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
3058,Hyundai Creta 1.6 CRDi SX,2015,850000,108000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
4127,Hyundai Creta 1.6 CRDi Anniversary Edition,2015,1300000,40000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi Anniversary Edition
5205,Hyundai Creta 1.6 CRDi SX Option,2015,880000,120000,Diesel,Individual,Manual,Second Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
6188,Hyundai Creta 1.6 CRDi SX Option,2015,1000000,70000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
6497,Hyundai Creta 1.6 CRDi SX Option,2015,1000000,50000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
7342,Hyundai Creta 1.6 CRDi SX,2015,850000,59235,Diesel,Dealer,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
7517,Hyundai Creta 1.6 CRDi SX Option,2015,1000000,73500,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Option
7664,Hyundai Creta 1.6 CRDi SX,2015,965000,60000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX
7824,Hyundai Creta 1.6 CRDi SX Plus,2015,900000,50000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582,126.2,259.9Nm,Hyundai,Creta 1.6 CRDi SX Plus
5377,Renault Duster 110PS Diesel RxL,2016,550000,80000,Diesel,Individual,Manual,Second Owner,5.0,19.64,1461,108.45,245Nm,Renault,Duster 110PS Diesel RxL
6206,Renault Duster 110PS Diesel RxL Explore,2016,650000,30000,Diesel,Individual,Manual,First Owner,5.0,19.64,1461,108.45,245Nm,Renault,Duster 110PS Diesel RxL Explore
5454,Renault Duster 110PS Diesel RxZ Plus,2013,520000,109000,Diesel,Individual,Manual,Second Owner,5.0,19.64,1461,108.45,245Nm,Renault,Duster 110PS Diesel RxZ Plus
1979,BMW X1 sDrive20d M Sport,2018,3350000,18000,Diesel,Dealer,Automatic,First Owner,5.0,19.62,1998,190,400nm,BMW,X1 sDrive20d M Sport
5394,BMW X1 sDrive20d M Sport,2012,925000,96000,Diesel,Dealer,Automatic,Second Owner,5.0,19.62,1998,190,400nm,BMW,X1 sDrive20d M Sport
1440,BMW X1 sDrive20d M Sport,2011,1075000,42545,Diesel,Dealer,Automatic,First Owner,5.0,19.62,1998,190,400nm,BMW,X1 sDrive20d M Sport
4390,BMW 3 Series 320d Luxury Line,2010,1100000,102000,Diesel,Dealer,Automatic,First Owner,5.0,19.62,1995,187.74,400Nm,BMW,3 Series 320d Luxury Line
1688,Nissan Terrano XV D Premium AMT,2017,850000,55000,Diesel,Individual,Automatic,First Owner,5.0,19.61,1461,108.5,248Nm,Nissan,Terrano XV D Premium AMT
6674,Tata Indigo TDI,2012,135000,146000,Diesel,Individual,Manual,First Owner,5.0,19.61,1405,70,135.4Nm,Tata,Indigo TDI
4188,Tata Indigo TDI,2010,409999,100000,Diesel,Individual,Manual,Second Owner,5.0,19.61,1405,70,135.4Nm,Tata,Indigo TDI
3440,Tata Indigo TDI,2008,210000,100000,Diesel,Individual,Manual,First Owner,5.0,19.61,1405,70,135.4Nm,Tata,Indigo TDI
465,Renault Duster 110PS Diesel RxZ,2018,1050000,18000,Diesel,Dealer,Manual,First Owner,5.0,19.6,1461,108.45,245Nm,Renault,Duster 110PS Diesel RxZ
1876,Renault Duster 110PS Diesel RxZ,2018,1250000,12000,Diesel,Individual,Manual,First Owner,5.0,19.6,1461,108.45,245Nm,Renault,Duster 110PS Diesel RxZ
4296,Renault Duster 110PS Diesel RxZ,2018,950000,26000,Diesel,Individual,Manual,First Owner,5.0,19.6,1461,108.45,245Nm,Renault,Duster 110PS Diesel RxZ
5171,Renault Duster 110PS Diesel RxL AMT,2017,850000,50000,Diesel,Individual,Automatic,First Owner,5.0,19.6,1461,108.45,245Nm,Renault,Duster 110PS Diesel RxL AMT
5181,Renault Duster 110PS Diesel RxZ,2017,880000,50000,Diesel,Individual,Manual,First Owner,5.0,19.6,1461,108.45,245Nm,Renault,Duster 110PS Diesel RxZ
4670,BMW 3 Series 320d GT Luxury Line,2017,2950000,39000,Diesel,Dealer,Automatic,First Owner,5.0,19.59,1995,187.74,380Nm,BMW,3 Series 320d GT Luxury Line
160,Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,5.0,19.56,1197,81.80,113Nm,Toyota,Glanza V CVT
4147,Toyota Glanza G CVT,2019,800000,10000,Petrol,Individual,Automatic,First Owner,5.0,19.56,1197,81.80,113Nm,Toyota,Glanza G CVT
7376,Maruti Baleno Alpha CVT,2017,750000,51000,Petrol,Dealer,Automatic,First Owner,5.0,19.56,1197,81.80,113Nm,Maruti,Baleno Alpha CVT
1531,Honda Amaze V Petrol BSIV,2019,700000,4500,Petrol,Individual,Manual,First Owner,5.0,19.5,1199,88.76,110Nm,Honda,Amaze V Petrol BSIV
5310,Honda Amaze S Petrol BSIV,2019,670000,5000,Petrol,Individual,Manual,First Owner,5.0,19.5,1199,88.76,110Nm,Honda,Amaze S Petrol BSIV
7034,Honda Amaze VX Petrol BSIV,2019,670000,20000,Petrol,Individual,Manual,First Owner,5.0,19.5,1199,88.76,110Nm,Honda,Amaze VX Petrol BSIV
7305,Honda Amaze S Petrol BSIV,2019,640000,6000,Petrol,Individual,Manual,First Owner,5.0,19.5,1199,88.76,110Nm,Honda,Amaze S Petrol BSIV
2138,Honda Amaze V Petrol BSIV,2018,600000,20000,Petrol,Individual,Manual,First Owner,5.0,19.5,1199,88.76,110Nm,Honda,Amaze V Petrol BSIV
1488,Fiat Linea Classic Plus 1.3 Multijet,2014,325000,142500,Diesel,Individual,Manual,First Owner,5.0,19.5,1248,75,197Nm,Fiat,Linea Classic Plus 1.3 Multijet
2853,Fiat Linea Classic 1.3 Multijet,2014,280000,185000,Diesel,Individual,Manual,Third Owner,5.0,19.5,1248,75,197Nm,Fiat,Linea Classic 1.3 Multijet
6465,Skoda Fabia 1.2L Diesel Ambiente,2011,210000,100000,Diesel,Individual,Manual,First Owner,5.0,19.5,1199,75,180 Nm at 2000rpm,Skoda,Fabia 1.2L Diesel Ambiente
7140,Nissan Micra Active XL Petrol,2017,370000,40000,Petrol,Individual,Manual,First Owner,5.0,19.49,1198,67.04,104Nm,Nissan,Micra Active XL Petrol
473,Nissan Micra Active XL Petrol,2016,370000,35000,Petrol,Individual,Manual,First Owner,5.0,19.49,1198,67.04,104Nm,Nissan,Micra Active XL Petrol
231,Nissan Micra Active XV S,2015,300000,80000,Petrol,Individual,Manual,First Owner,5.0,19.49,1198,67.04,104Nm,Nissan,Micra Active XV S
2992,Nissan Micra Active XL Petrol,2014,225000,100000,Petrol,Individual,Manual,First Owner,5.0,19.49,1198,67.04,104Nm,Nissan,Micra Active XL Petrol
180,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,Manual,First Owner,5.0,19.44,999,75,95Nm,Volkswagen,Ameo 1.0 MPI Trendline
5927,Volkswagen Ameo 1.0 MPI Comfortline,2019,550000,30000,Petrol,Individual,Manual,Second Owner,5.0,19.44,999,75,95Nm,Volkswagen,Ameo 1.0 MPI Comfortline
6815,Volkswagen Ameo 1.0 MPI Trendline,2019,500000,20000,Petrol,Individual,Manual,First Owner,5.0,19.44,999,75,95Nm,Volkswagen,Ameo 1.0 MPI Trendline
2743,Datsun GO Plus T Option BSIV,2016,350000,50000,Petrol,Individual,Manual,First Owner,7.0,19.44,1198,67,104Nm,Datsun,GO Plus T Option BSIV
6760,Datsun GO Plus T BSIV,2016,325000,70000,Petrol,Individual,Manual,Second Owner,7.0,19.44,1198,67,104Nm,Datsun,GO Plus T BSIV
3907,Datsun GO Plus T BSIV,2015,260000,35000,Petrol,Individual,Manual,Third Owner,7.0,19.44,1198,67,104Nm,Datsun,GO Plus T BSIV
6871,Datsun GO Plus D,2015,229999,60000,Petrol,Individual,Manual,Second Owner,7.0,19.44,1198,67,104Nm,Datsun,GO Plus D
1768,Ford Aspire Titanium BSIV,2019,800000,33000,Petrol,Dealer,Manual,First Owner,5.0,19.4,1194,94.93,120Nm,Ford,Aspire Titanium BSIV
3183,Ford Aspire Titanium BSIV,2019,675000,7000,Petrol,Individual,Manual,First Owner,5.0,19.4,1194,94.93,120Nm,Ford,Aspire Titanium BSIV
6162,Ford Aspire Titanium BSIV,2019,575000,20000,Petrol,Individual,Manual,First Owner,5.0,19.4,1194,94.93,120Nm,Ford,Aspire Titanium BSIV
972,Honda Brio S MT,2016,400000,68000,Petrol,Individual,Manual,First Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio S MT
1375,Honda Brio S MT,2016,475000,2118,Petrol,Dealer,Manual,First Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio S MT
202,Honda Brio S MT,2014,290000,60000,Petrol,Individual,Manual,Second Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio S MT
281,Honda Brio Exclusive Edition,2014,335000,33033,Petrol,Dealer,Manual,First Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio Exclusive Edition
3512,Honda Brio S MT,2014,325000,40000,Petrol,Individual,Manual,Third Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio S MT
254,Tata Indica Vista TDI LS,2013,170000,162500,Diesel,Individual,Manual,First Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LS
1616,Tata Indica Vista TDI LS,2013,160000,110000,Diesel,Individual,Manual,First Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LS
2278,Tata Indica Vista TDI LS,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LS
3817,Honda Brio Exclusive Edition,2013,355000,80000,Petrol,Individual,Manual,First Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio Exclusive Edition
3820,Tata Indica Vista TDI LX,2013,200000,120000,Diesel,Individual,Manual,First Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LX
4660,Tata Indica Vista TDI LX,2013,225000,70000,Diesel,Individual,Manual,Second Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LX
5564,Tata Indica Vista TDI LS,2013,150000,90000,Diesel,Individual,Manual,Second Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LS
6144,Honda Brio S MT,2013,300000,80000,Petrol,Individual,Manual,Second Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio S MT
217,Honda Brio S MT,2012,265000,60000,Petrol,Individual,Manual,First Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio S MT
2403,Honda Brio V MT,2012,310000,50000,Petrol,Individual,Manual,Second Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio V MT
2738,Tata Indica Vista TDI LS,2012,119000,95000,Diesel,Individual,Manual,Second Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LS
3063,Honda Brio E MT,2012,229999,110000,Petrol,Individual,Manual,First Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio E MT
3493,Tata Indica Vista TDI LX,2012,260000,46000,Diesel,Individual,Manual,First Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LX
3637,Tata Indica Vista TDI LX,2012,140000,185000,Diesel,Individual,Manual,Second Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LX
4946,Honda Brio V MT,2012,376000,26000,Petrol,Individual,Manual,First Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio V MT
6735,Honda Brio V MT,2012,250000,97000,Petrol,Individual,Manual,Second Owner,5.0,19.4,1198,86.8,109Nm,Honda,Brio V MT
7057,Tata Indica Vista TDI LX,2012,180000,100000,Diesel,Individual,Manual,Second Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LX
8037,Tata Indica Vista TDI LS,2012,175000,90000,Diesel,Individual,Manual,Third Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LS
2197,Tata Indica Vista TDI LS,2011,110000,120000,Diesel,Individual,Manual,First Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LS
3009,Tata Indica Vista TDI LX,2011,210000,120000,Diesel,Individual,Manual,First Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LX
4646,Tata Indica Vista TDI LX,2011,350000,80000,Diesel,Individual,Manual,First Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LX
6668,Tata Indica Vista TDI LS,2011,150000,120000,Diesel,Individual,Manual,First Owner,5.0,19.4,1405,70,135.4Nm,Tata,Indica Vista TDI LS
3272,Skoda Fabia 1.4 TDI Ambiente,2008,140000,150000,Diesel,Individual,Manual,Third Owner,5.0,19.4,1422,70,155 Nm at 1600-2800 rpm,Skoda,Fabia 1.4 TDI Ambiente
1610,Maruti Ertiga ZXI Plus Petrol,2018,900000,25000,Petrol,Individual,Manual,First Owner,7.0,19.34,1462,103,138Nm,Maruti,Ertiga ZXI Plus Petrol
2324,Maruti Ertiga VXI Petrol,2018,700000,6200,Petrol,Individual,Manual,First Owner,7.0,19.34,1462,103,138Nm,Maruti,Ertiga VXI Petrol
3130,Nissan Micra Fashion Edition XL CVT,2017,500000,26000,Petrol,Individual,Automatic,First Owner,5.0,19.34,1198,76,104Nm,Nissan,Micra Fashion Edition XL CVT
3877,Nissan Micra XV CVT,2017,560000,21500,Petrol,Individual,Automatic,First Owner,5.0,19.34,1198,76,104Nm,Nissan,Micra XV CVT
558,Nissan Micra XV CVT,2015,325000,50000,Petrol,Individual,Automatic,First Owner,5.0,19.34,1198,76,104Nm,Nissan,Micra XV CVT
1901,Nissan Micra XV CVT,2015,300000,71717,Petrol,Individual,Automatic,Second Owner,5.0,19.34,1198,76,104Nm,Nissan,Micra XV CVT
7031,Nissan Micra XV CVT,2014,361000,26000,Petrol,Individual,Automatic,First Owner,5.0,19.34,1198,76,104Nm,Nissan,Micra XV CVT
5531,Nissan Micra XV CVT,2013,310000,91400,Petrol,Individual,Automatic,Second Owner,5.0,19.34,1198,76,104Nm,Nissan,Micra XV CVT
133,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,5.0,19.33,1999,177,430Nm,Jaguar,XF 2.0 Diesel Portfolio
7499,Volkswagen Jetta 2.0L TDI Highline,2013,950000,80000,Diesel,Individual,Manual,Second Owner,5.0,19.33,1968,138.1,320Nm,Volkswagen,Jetta 2.0L TDI Highline
6746,Volkswagen Jetta 2.0L TDI Comfortline,2012,420000,110000,Diesel,Individual,Manual,Third Owner,5.0,19.33,1968,138.1,320Nm,Volkswagen,Jetta 2.0L TDI Comfortline
3065,Volkswagen Jetta 2.0L TDI Highline,2011,425000,120000,Diesel,Individual,Manual,Second Owner,5.0,19.33,1968,138.1,320Nm,Volkswagen,Jetta 2.0L TDI Highline
1994,Skoda Octavia Style Plus 2.0 TDI AT,2019,2600000,11000,Diesel,Dealer,Automatic,First Owner,5.0,19.3,1968,141,320Nm,Skoda,Octavia Style Plus 2.0 TDI AT
7301,Maruti Swift Dzire Vdi BSIV,2017,650000,82050,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire Vdi BSIV
123,Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
261,Maruti Swift Dzire LDi,2012,310000,120000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire LDi
263,Maruti Swift Dzire ZDi,2012,340000,110000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire ZDi
272,Maruti Swift Dzire ZDi,2012,320000,193000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire ZDi
768,Maruti Swift Dzire VDi,2012,420000,120000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
945,Maruti Swift Dzire VDi,2012,415000,108000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
1406,Maruti Swift Dzire VDi,2012,400000,100000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
1482,Maruti Swift Dzire VDi,2012,430000,110000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
1529,Maruti Swift Dzire VDi,2012,495000,80000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
1812,Maruti Swift Dzire LDi,2012,310000,77000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire LDi
2175,Maruti Swift Dzire VDi,2012,350000,52000,Diesel,Individual,Manual,Third Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
2211,Maruti Swift Dzire VDi,2012,380000,60000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
2746,Maruti Swift Dzire VDi,2012,290000,105000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
3613,Maruti Swift Dzire Zdi BSIV,2012,400000,129000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire Zdi BSIV
4304,Maruti Swift Dzire LDi,2012,270000,110000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire LDi
5227,Maruti Swift Dzire Ldi BSIV,2012,370000,210000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire Ldi BSIV
5284,Maruti Swift Dzire VDi,2012,250000,100000,Diesel,Individual,Manual,Third Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
5920,Maruti Swift Dzire VDi,2012,380000,70000,Diesel,Individual,Manual,Third Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
6312,Maruti Swift Dzire VDi,2012,400000,58400,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
7243,Maruti Swift Dzire ZDi,2012,375000,70000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire ZDi
7353,Maruti Swift Dzire Vdi BSIV,2012,371000,100000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire Vdi BSIV
7620,Maruti Swift Dzire VDi,2012,320000,90000,Diesel,Individual,Manual,Third Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
7681,Maruti Swift Dzire VDi,2012,341000,120000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
338,Maruti Swift Dzire ZDi,2011,265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire ZDi
798,Maruti Swift Dzire VDi,2011,350000,137500,Diesel,Individual,Manual,Third Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire VDi
807,Maruti Swift Dzire ZDi,2011,320000,110000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire ZDi
3226,Maruti Swift Dzire Vdi BSIV,2011,250000,170000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire Vdi BSIV
3909,Maruti Swift Dzire Vdi BSIV,2011,347000,80600,Diesel,Individual,Manual,First Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire Vdi BSIV
3916,Maruti Swift Dzire ZDi,2011,350000,120000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire ZDi
4071,Maruti Swift Dzire Vdi BSIV,2011,500000,60000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248,73.9,190Nm,Maruti,Swift Dzire Vdi BSIV
